Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,PMR 9,446.106250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,LPD 1,433.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,LPD 2,433.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,LPD3,433.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,LPD 4,433.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,LPD 5,433.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,LPD 6,433.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,LPD 7,433.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,LPD 8,433.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,LPD 9,433.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,LPD 10,433.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,LPD 11,433.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,LPD 12,433.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,LPD 13,433.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,LPD 14,433.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,LPD 15,433.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,LPD 16,433.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,LPD 17,433.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,LPD 18,433.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,LPD 19,433.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,LPD 20,433.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,LPD 21,433.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,LPD 22,433.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,LPD 23,433.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,LPD 24,433.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,LPD 25,433.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,LPD 26,433.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,LPD 27,433.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,LPD 28,433.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,LPD 29,433.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,LPD 30,433.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,LPD 31,433.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,LPD 32,433.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,LPD 33,433.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,LPD 34,433.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
55,LPD 35,433.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,LPD 36,433.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,LPD 37,433.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,LPD 38,434.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
59,LPD 39,434.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,LPD 40,434.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,LPD 41,434.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,LPD 42,434.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,LPD 43,434.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,LPD 44,434.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,LPD 45,434.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,LPD 46,434.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,LPD 47,434.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,LPD 48,434.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,LPD 49,434.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,LPD 50,434.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,LPD 51,434.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,LPD 52,434.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,LPD 53,434.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,LPD 54,434.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,LPD 55,434.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
76,LPD 56,434.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,LPD 57,434.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,LPD 58,434.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
79,LPD 59,434.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,LPD 60,434.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,LPD 61,434.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,LPD 62,434.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,LPD 63,434.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,LPD 64,434.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,LPD 65,434.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,LPD 66,434.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,LPD 67,434.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,LPD 68,434.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,LPD 69,434.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,FNET 1,149.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,FNET 2,149.037500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,FNET 3,149.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,FNET 4,149.087500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,FNET 5,149.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,FNET 6,149.112500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
